type,question,A,B,C,D,answer
Structure,________ raining when we left the building.,It was,There was,It is,There is,A
Structure,Not only he but also his friends ______ late.,is,are,was,be,B
Structure,Each of the students ______ a schedule.,has,have,having,to have,A
Structure,The teacher made the students ______ quiet.,be,to be,being,been,A
Structure,She said that she ______ to the party.,will go,go,would go,goes,C
Structure,John as well as his brothers ______ going to the game tonight.,are,is,was,have,B
Structure,The book or the pens ______ on the table.,is,am,are,was,A
Structure,Neither the teacher nor the students ______ present in the room.,was,were,has,have,B
Structure,He suggested that she ______ the doctor.,see,sees,saw,seeing,A
Structure,If I had known earlier, I ______ you.,would help,helped,would have helped,will help,C
Structure,They asked me where ______.,I live,I lived,I am living,I has lived,B
Structure,The man ______ here since Monday.,has been,have been,was,were,A
Structure,Hard work and discipline ______ the key to success.,is,are,was,has,A
Structure,One of the boys who ______ in my class ______ absent today.,studies,is study,study,studies,C
Structure,By the time we arrived, the movie ______.,had started,started,was starting,has started,A
Structure,She enjoys ______ books more than watching TV.,reading,read,reads,to read,A
Structure,He was accused of ______ the rules.,break,breaking,broke,broken,B
Structure,The children were made ______ quietly.,to sit,sit,sitting,sat,A
Structure,This is the town ______ I was born.,which,in which,where,B and C,D
Structure,She is the girl ______ won the competition.,who,whom,whose,which,A
Written Expression,Every student need to bring their own laptop.,were,need,sing,needs,B
Written Expression,He don’t like vegetables at all.,don’t,was,are,were,A
Written Expression,She can sings well and dance gracefully.,needs,sings,are,sing,B
Written Expression,There is several mistakes in your essay.,sing,needs,are,is,D
Written Expression,The students in the class was very talkative during the lecture.,was,needs,were,doesn't,A
Written Expression,The boy with all his toys are under the bed.,with,all,are,the bed,C
Written Expression,He don’t know how to use the new software.,don’t,how,software,know,A
Written Expression,We has already discussed the plan for the project.,has,discussed,plan,project,A
Written Expression,She don’t understand why he left suddenly.,don’t,understand,why,left,A
Written Expression,My brother and sister goes to different schools.,and,goes,different,schools,B
Written Expression,Although he was tired, but he continued working.,he,was,but,continued,C
Written Expression,There are less people in the office today than yesterday.,are,less,yesterday,office,B
Written Expression,The number of errors in this report are surprising.,number,errors,this,are,D
Written Expression,She enjoy reading novels and write poems.,enjoy,reading,novels,write,A
Written Expression,He have finished his homework before dinner.,have,finished,homework,before,D
Written Expression,The data shows that the experiment was successful.,data,shows,experiment,successful,A
Written Expression,Everyone are responsible for completing their task.,are,responsible,task,their,A
Written Expression,This is one of the best movie I have ever seen.,one,best,movie,seen,C
Written Expression,She doesn't likes spicy food because it hurt her stomach.,likes,because,it,hurt,A
Written Expression,The manager with his employees are attending a meeting.,manager,with,employees,are,D
Written Expression,The teacher ask the students to turn in they homework.,ask,students,turn,they,D
Written Expression,The box contain five books and ten pencils.,contain,books,and,pencils,A
Written Expression,Each of the applicants have to submit an application form.,each,applicants,have,application,B
Written Expression,She has being working on this project for two months.,has,being,working,months,B
Written Expression,The results varies depending on the method used.,results,varies,method,used,B
Written Expression,Neither of the options seem acceptable to the committee.,neither,options,seem,committee,C
Written Expression,He was suppose to arrive this morning.,was,suppose,arrive,morning,B
Written Expression,The company are planning to expand its operations overseas.,company,are,planning,its,B
Written Expression,The test, including all the bonus question, are difficult.,including,bonus,are,difficult,C
Written Expression,We was surprised by the outcome of the negotiations.,we,was,surprised,outcome,B
Written Expression,The students looks confused after the explanation.,students,looks,confused,explanation,B
Written Expression,She spend too much time on social media last week.,spend,much,time,last,A
Written Expression,Many informations are available online nowadays.,informations,are,available,online,A
Written Expression,The committee disagree about the decision they made.,committee,disagree,decision,they,C
Written Expression,She no longer live in the same city as her parents.,no,longer,live,parents,C
Written Expression,The police has identified the cause of the accident.,police,has,identified,accident,B
Written Expression,He never listens to what I am saying to him.,never,listens,to,saying,D
Written Expression,The new policy effect everyone in the organization.,policy,effect,everyone,organization,B
Written Expression,The professor teaches both graduate and undergraduate courses.,professor,teaches,graduate,courses,D
Written Expression,The cost of these products are expected to rise.,cost,products,are,rise,C
Written Expression,Each employee must complete their training by Friday.,employee,complete,their,Friday,C
Written Expression,The director, along with his staff, are leaving for New York.,director,along,staff,are,D
Written Expression,The news about the merger were shocking to many investors.,news,merger,were,investors,C
Written Expression,The team are arguing about the strategy for the upcoming match.,team,arguing,strategy,match,B
Written Expression,The package containing the documents are missing.,containing,documents,are,missing,C
Written Expression,The quality of these items are not consistent.,quality,items,are,consistent,C
Written Expression,Neither the coach nor the players is ready for the game.,coach,nor,players,is,D
Written Expression,The book, including the introduction, were interesting.,including,introduction,were,interesting,C
Written Expression,The majority of the cake have been eaten already.,majority,cake,have,eaten,C
Written Expression,The school provide free lunch to all students.,school,provide,free,students,B
Written Expression,She don’t want to participate in the event tomorrow.,don’t,participate,event,tomorrow,A
